what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275940906918
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275940910846
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275940912846
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275940958504
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275940960668
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275940979969
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275941024821
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941025583
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941145035
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275941147277
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941147537
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941156146
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275941161641
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941162393
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941172057
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275941194857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941195990
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941285959
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941288568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941291524
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1275941305010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941374764
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941401050
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941424306
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275941436992
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1275941445655
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1275941525048
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1275941527482
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1275941527513
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1275941538087
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942150876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942164577
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275942166473
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275942166832
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275942167135
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942244479
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942245094
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942249124
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942253166
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942254020
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942263124
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1275942286000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942415356
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942416724
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942428110
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942431796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942432420
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942449976
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942452691
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942453006
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942455572
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942455888
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942480599
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942486054
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942486886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942495688
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942498731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942499475
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942515713
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942520734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942522663
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942561522
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942566757
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942567593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942569340
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942570370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942577897
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942588543
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942589806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942610956
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942615262
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942616258
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942657686
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942761707
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942762852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942765382
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942768391
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942783660
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942792663
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942793606
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275942799837
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942800487
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942800843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942801222
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942801560
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942801900
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942802825
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942803218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275942803566
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275942815465
