what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276528686128
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276528686201
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1276528693493
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276528714790
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276528714913
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1276528714936
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276528717156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276528916961
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276528922460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276528969954
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529024721
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276529027318
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276529027319
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1276529111805
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.opendecl",1276529120611
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276529149141
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276529247069
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529348911
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529348920
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529355872
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276529370461
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276529390177
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529396503
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529396534
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529402612
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529416466
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529416495
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529424520
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276529430549
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529469916
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529469930
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529481277
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529488241
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529488251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529497729
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529498959
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529503870
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276529517608
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529540904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529540915
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529545838
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1276529550118
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529550132
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529558700
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529559566
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529559983
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276529560598
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529561341
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529645744
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276529677128
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276529696592
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529700441
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529719226
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529742071
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529744084
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529748168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529831145
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276529855580
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276529862033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276529864462
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276530217429
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1276530221018
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276530237035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276531233430
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276531235084
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276531349484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276531350776
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276532110545
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276532118925
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276532120216
stopped,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1276532120788
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1276532120808
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1276532120826
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1276532120837
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1276532120853
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1276532120862
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1276532120862
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1276532120873
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1276532120888
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1276532120926
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1276532120960
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1276532120960
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1276532120967
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1276532121068
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1276532121068
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.201002161416,"org.eclipse.cdt.mylyn.ui",1276532121069
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1276532121071
stopped,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1276532121082
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,"org.tigris.subversion.subclipse.graph",1276532121082
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1276532121082
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1276532121084
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1276532121209
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1276532121209
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1276532121209
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1276532121209
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1276532121210
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1276532121225
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1276532121225
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1276532121251
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1276532121271
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1276532121271
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1276532121310
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1276545077542
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1276545077542
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1276545077543
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1276545077562
started,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1276545077562
started,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1276545077704
started,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1276545077712
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1276545077824
started,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1276545077824
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1276545077825
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1276545077830
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1276545077840
