what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333723090
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333724052
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333725351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333726209
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333753417
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276333753456
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276333766844
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333774147
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333775708
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333781459
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276333785882
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333791295
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276333792621
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333793819
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333794447
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333804596
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276333821776
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276333822130
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276333823697
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276333824238
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276333824690
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333825934
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276333826554
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333826755
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333827737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333834862
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333903609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333904451
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333915881
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333930916
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333931764
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276333936817
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276333945659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276334184999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335012346
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335057832
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1276335058022
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1276335058432
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1276335058604
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1276335060746
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335060851
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335060903
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1276335060927
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335062608
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335088810
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335092114
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276335099929
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335101060
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335135619
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335135670
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276335147392
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335148265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335158821
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335158855
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276335163106
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335164265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335221168
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1276335221201
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335222002
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.line",1276335223507
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335223534
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276335227049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335228597
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335244127
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276335250794
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335251723
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335301410
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335305411
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276335306880
stopped,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1276335307415
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1276335307430
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1276335307449
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1276335307460
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1276335307475
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1276335307485
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1276335307485
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1276335307497
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1276335307511
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1276335307556
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1276335307591
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1276335307591
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1276335307598
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1276335307874
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1276335307874
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.201002161416,"org.eclipse.cdt.mylyn.ui",1276335307875
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1276335307877
stopped,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1276335307886
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,"org.tigris.subversion.subclipse.graph",1276335307886
