what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295026154
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276295037728
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295038702
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295052279
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1276295138177
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276295260652
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295327691
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295377578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295389177
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295390861
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276295403307
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295405059
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295423092
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295423934
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.line",1276295425344
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295425366
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276295445423
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276295445830
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276295468666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295469759
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295508441
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276295530347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295531138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295551400
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.scroll.lineDown",1276295556559
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276295557896
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276296518180
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296519852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296524370
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276296545189
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276296545495
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276296547613
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276296559083
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276296567040
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296568624
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296576298
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276296726322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296728291
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296743333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296744288
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.line",1276296745778
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296745810
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276296776968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276296777436
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276296779461
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276296799759
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296808751
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296929204
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296933299
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.line",1276296934681
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296934712
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276296993398
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276296995227
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276297001704
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276297003246
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276297005311
stopped,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1276297005894
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1276297005940
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1276297006003
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1276297006038
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1276297006087
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1276297006096
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1276297006096
