what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1278237844947
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1278237844950
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1278237844952
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1278237844963
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1278237844968
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1278237844974
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1278237844976
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1278237844982
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1278237844985
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1278237844985
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1278237844994
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1278237845003
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1278237845008
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1278237845009
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1278237845020
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1278237845033
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1278237845042
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1278237845051
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1278237845063
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1278237845064
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1278237845064
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1278237845064
os,sysinfo,,,"linux",1278237845069
arch,sysinfo,,,"x86_64",1278237845069
ws,sysinfo,,,"gtk",1278237845069
locale,sysinfo,,,"en_US",1278237845069
processors,sysinfo,,,"4",1278237845070
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1278237845070
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1278237845070
java.specification.name,sysinfo,,,"Java Platform API Specification",1278237845070
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278237845070
java.specification.version,sysinfo,,,"1.6",1278237845070
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1278237845070
java.version,sysinfo,,,"1.6.0_20",1278237845070
java.vm.info,sysinfo,,,"mixed mode",1278237845070
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1278237845070
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1278237845070
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278237845070
java.vm.specification.version,sysinfo,,,"1.0",1278237845070
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1278237845070
java.vm.version,sysinfo,,,"16.3-b01",1278237845070
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1278237845173
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1278237845218
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1278237845588
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1278237845709
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1278237845735
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1278237845846
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1278237845968
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1278237846154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278239647264
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278239663312
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278239667904
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278239667941
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278239746928
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1278239794207
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1278240016263
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1278240085192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1278240085426
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1278240189090
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1278240192128
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1278240662710
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240662733
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240699193
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240701155
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240711115
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240717513
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.line",1278240718681
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240718707
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1278240720610
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240720624
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240737093
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278240737698
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1278240738682
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240738699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278240761312
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278240762689
