what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1274371462065
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1274371462066
os,sysinfo,,,"linux",1274371462069
arch,sysinfo,,,"x86_64",1274371462069
ws,sysinfo,,,"gtk",1274371462069
locale,sysinfo,,,"en_US",1274371462069
processors,sysinfo,,,"4",1274371462069
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274371462069
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1274371462069
java.specification.name,sysinfo,,,"Java Platform API Specification",1274371462069
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274371462069
java.specification.version,sysinfo,,,"1.6",1274371462069
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274371462069
java.version,sysinfo,,,"1.6.0_20",1274371462069
java.vm.info,sysinfo,,,"mixed mode",1274371462069
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1274371462069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274371462069
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274371462069
java.vm.specification.version,sysinfo,,,"1.0",1274371462069
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274371462069
java.vm.version,sysinfo,,,"16.3-b01",1274371462069
activated,view,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1274371463125
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1274371464228
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1274371464231
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274371464601
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1274371467601
started,bundle,org.tmatesoft.svnkit,1.3.2.6267,"org.tmatesoft.svnkit",1274371601648
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274371601666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274371602033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274371603329
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1274371603332
