what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275925231489
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925232351
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925243954
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1275925249028
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925265906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925281770
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1275925281807
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1275925286008
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1275925295877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275925303043
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925303832
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925317557
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275925536272
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1275925538143
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275925543960
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925544580
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275925551932
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925559040
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925559329
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925559576
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925560775
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925561051
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925561317
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1275925561607
