what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1278348673945
closed,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348673948
opened,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348675021
activated,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348675037
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1278348675077
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348675469
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348675861
activated,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348684746
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1278348684767
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348685170
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348685503
activated,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348689449
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1278348689459
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348689855
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348690308
activated,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348693236
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1278348693270
closed,editor,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare.CompareEditor",1278348693272
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348710401
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278348996680
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349003974
executed,command,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui.commit",1278349139952
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349139977
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349140404
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349141435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349153552
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349222651
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349223736
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349258853
activated,view,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui.svnproperties.SvnPropertiesView",1278349264405
closed,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1278349264412
activated,view,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1278349269499
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349277336
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1278349278558
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1278349278589
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1278349278602
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1278349278602
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349278615
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349288559
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349322234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349324681
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349383861
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278349394190
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278349394232
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1278349394254
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278349408104
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278349408153
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1278349408171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349412794
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349429448
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278349432959
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1278349433012
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1278349433037
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349452659
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1278349453998
stopped,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1278349454537
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1278349454559
